loan_id,customer_id,gender,age,marital_status,education_level,county,employment_status,monthly_income_kes,mobile_money_usage,airtime_topup_frequency,loan_amount_kes,loan_term_months,interest_rate,repayment_frequency,num_previous_loans,num_defaults,loan_purpose,collateral_type,group_loan,days_late,repayment_progress,defaulted
L101101,C51101,Other,49,Divorced,Primary,Kisumu,Formal,36795.88,15311.01,6,30548,24,14.15,Monthly,2,0,Emergency,Guarantor,True,11,57.82,0
L101102,C51102,Male,57,Single,Primary,Mombasa,Self-employed,38630.3,16640.72,8,34723,12,12.8,Bi-weekly,1,0,Agriculture,Livestock,False,7,73.19,1
L101103,C51103,Female,61,Divorced,Tertiary,Kisumu,Formal,32279.92,-4728.98,3,15771,6,8.11,Monthly,1,0,Business,Livestock,True,6,80.03,0
L101104,C51104,Male,19,Divorced,Secondary,Nakuru,Unemployed,34306.14,334.34,5,12585,24,8.56,Bi-weekly,1,0,Medical,None,False,0,41.53,0
L101105,C51105,Other,32,Divorced,None,Eldoret,Unemployed,15636.35,16529.04,5,47574,3,15.72,Weekly,2,0,Agriculture,Title Deed,True,39,96.79,0
L101106,C51106,Other,38,Widowed,Tertiary,Eldoret,Self-employed,9877.3,28747.8,2,42052,6,10.77,Monthly,1,1,Education,Guarantor,True,28,39.17,0
L101107,C51107,Other,41,Divorced,None,Meru,Unemployed,35829.13,10784.05,7,5536,6,23.7,Bi-weekly,2,1,Business,Guarantor,False,0,88.18,0
L101108,C51108,Male,34,Married,Tertiary,Nairobi,Formal,23840.23,13735.61,3,36817,6,9.77,Bi-weekly,0,0,Education,Livestock,True,44,98.13,0
L101109,C51109,Male,64,Widowed,Primary,Meru,Self-employed,34429.23,14128.93,7,17219,3,23.96,Monthly,6,0,Agriculture,Electronics,True,24,80.42,0
L101110,C51110,Male,26,Married,None,Kisumu,Unemployed,29650.62,19156.6,6,22857,6,10.11,Monthly,3,1,Household,Title Deed,False,9,82.84,0
L101111,C51111,Male,52,Married,Secondary,Mombasa,Formal,18994.06,4490.02,6,1554,6,22.96,Monthly,0,0,Business,Electronics,True,11,92.8,0
L101112,C51112,Other,37,Married,None,Nairobi,Self-employed,21516.21,28243.19,7,33736,12,7.98,Bi-weekly,2,1,Agriculture,Title Deed,True,54,12.01,1
L101113,C51113,Other,36,Widowed,None,Eldoret,Unemployed,3394.42,23584.39,5,45147,6,7.95,Weekly,1,0,Education,Livestock,False,6,8.42,1
L101114,C51114,Female,35,Single,Tertiary,Kisumu,Informal,28179.51,18200.09,7,22220,24,20.9,Weekly,2,1,Agriculture,Guarantor,False,52,95.85,1
L101115,C51115,Female,37,Divorced,Secondary,Mombasa,Self-employed,15182.57,8258.52,5,23597,12,18.64,Bi-weekly,1,0,Emergency,Livestock,True,26,91.38,0
L101116,C51116,Male,47,Divorced,Primary,Meru,Self-employed,37344.31,16534.02,10,3963,24,16.31,Weekly,5,1,Household,Livestock,True,11,2.31,0
L101117,C51117,Other,57,Single,None,Eldoret,Informal,29049.25,16079.75,6,4232,24,7.31,Bi-weekly,2,1,Emergency,Electronics,True,11,10.81,0
L101118,C51118,Other,18,Single,None,Machakos,Unemployed,35912.41,5950.15,9,19606,3,11.5,Bi-weekly,3,0,Agriculture,Guarantor,False,34,2.43,1
L101119,C51119,Other,41,Married,Tertiary,Mombasa,Self-employed,33129.62,3423.78,8,9031,24,18.0,Monthly,1,0,Business,Electronics,True,1,71.65,0
L101120,C51120,Female,41,Widowed,Primary,Meru,Formal,39998.17,15613.7,11,40583,3,22.66,Monthly,3,1,Agriculture,None,True,44,0.25,0
L101121,C51121,Female,64,Married,Tertiary,Kisumu,Unemployed,39768.65,10395.96,5,42904,24,15.62,Monthly,3,0,Household,Electronics,False,25,97.27,0
L101122,C51122,Other,36,Divorced,Secondary,Mombasa,Self-employed,24030.08,20749.78,4,8519,6,10.65,Monthly,4,1,Household,Livestock,True,10,23.71,0
L101123,C51123,Other,47,Single,Primary,Nairobi,Formal,38944.27,1730.87,5,24873,3,18.44,Bi-weekly,2,0,Emergency,Livestock,False,33,55.47,0
L101124,C51124,Other,43,Divorced,Secondary,Nairobi,Informal,45254.06,14294.93,6,13608,24,8.47,Monthly,0,0,Agriculture,Title Deed,False,14,65.2,0
L101125,C51125,Female,59,Single,Tertiary,Machakos,Formal,27020.57,22440.86,9,31001,24,21.15,Monthly,3,1,Medical,Livestock,True,21,6.68,0
L101126,C51126,Other,61,Widowed,Primary,Kisumu,Unemployed,40489.13,16231.47,7,29373,24,10.38,Bi-weekly,0,0,Emergency,Electronics,True,36,56.76,0
L101127,C51127,Other,55,Married,Secondary,Meru,Informal,33789.11,22679.06,12,18345,6,10.53,Bi-weekly,1,0,Medical,Electronics,True,33,72.46,0
L101128,C51128,Male,46,Divorced,Secondary,Eldoret,Formal,38960.88,21373.85,3,28554,24,22.73,Bi-weekly,3,1,Medical,Electronics,True,52,30.35,1
L101129,C51129,Male,30,Widowed,Tertiary,Nakuru,Unemployed,38816.68,11597.11,4,36529,24,19.05,Weekly,1,1,Business,Electronics,False,26,46.9,1
L101130,C51130,Female,21,Divorced,Primary,Nakuru,Informal,47193.59,8901.33,2,37067,6,17.75,Weekly,1,1,Agriculture,None,False,37,75.54,0
L101131,C51131,Other,62,Single,Secondary,Nakuru,Unemployed,3745.68,21552.51,3,1309,12,15.71,Bi-weekly,1,1,Business,Electronics,False,49,53.88,0
L101132,C51132,Other,34,Divorced,None,Eldoret,Self-employed,40407.97,15822.09,5,8905,6,11.42,Bi-weekly,3,1,Education,Electronics,True,28,43.93,0
L101133,C51133,Male,50,Widowed,Primary,Machakos,Unemployed,39619.51,15016.16,5,44775,24,5.65,Weekly,1,1,Household,Electronics,True,45,7.01,0
L101134,C51134,Female,22,Widowed,Primary,Nairobi,Formal,49965.88,19039.49,5,4329,24,13.63,Monthly,5,0,Agriculture,Livestock,False,15,95.97,0
L101135,C51135,Male,45,Married,None,Nairobi,Unemployed,35356.24,11466.29,4,25302,12,20.63,Bi-weekly,2,1,Household,Guarantor,True,20,82.7,0
L101136,C51136,Male,41,Divorced,Primary,Meru,Unemployed,41689.42,6562.68,1,3969,3,15.08,Monthly,1,1,Education,Guarantor,False,44,2.66,0
L101137,C51137,Male,34,Single,Primary,Meru,Informal,27751.89,26050.72,2,30381,12,5.29,Monthly,1,1,Education,Guarantor,True,46,59.01,1
L101138,C51138,Male,56,Divorced,None,Nairobi,Unemployed,16539.78,13264.98,6,27794,24,14.35,Weekly,3,1,Medical,Title Deed,True,7,96.9,1
L101139,C51139,Other,57,Married,Tertiary,Meru,Unemployed,30421.53,3741.43,4,33475,3,13.47,Monthly,2,1,Medical,Electronics,False,19,23.3,1
L101140,C51140,Other,61,Single,Secondary,Kisumu,Self-employed,28614.98,16370.98,6,39301,24,19.38,Bi-weekly,2,0,Business,Guarantor,False,53,51.56,1
L101141,C51141,Male,63,Single,None,Meru,Self-employed,34566.13,14260.09,5,41167,3,22.87,Weekly,1,1,Education,Livestock,False,54,57.79,0
L101142,C51142,Female,28,Married,Primary,Nairobi,Informal,64268.9,9381.31,12,7257,24,11.99,Monthly,2,2,Medical,Livestock,True,30,46.34,0
L101143,C51143,Female,29,Single,Secondary,Meru,Informal,34219.49,16180.61,4,36702,3,15.3,Weekly,1,1,Household,Title Deed,True,41,37.73,0
L101144,C51144,Female,30,Widowed,Secondary,Nairobi,Formal,30517.06,11545.23,9,1516,3,7.04,Weekly,2,0,Education,None,False,48,99.74,0
L101145,C51145,Female,25,Widowed,Secondary,Nairobi,Informal,30460.68,5613.37,7,48099,3,16.33,Weekly,2,1,Agriculture,Electronics,True,57,71.31,0
L101146,C51146,Male,18,Single,Tertiary,Machakos,Unemployed,36582.69,4498.64,7,25518,12,12.5,Monthly,0,0,Emergency,Livestock,False,57,74.62,0
L101147,C51147,Other,26,Divorced,Primary,Machakos,Self-employed,32247.34,2814.34,5,7419,24,23.8,Weekly,3,1,Household,Title Deed,True,9,85.86,1
L101148,C51148,Female,45,Single,Primary,Nakuru,Informal,32970.4,21520.98,8,14253,12,15.83,Bi-weekly,1,0,Business,Guarantor,True,30,18.31,0
L101149,C51149,Male,19,Divorced,Secondary,Mombasa,Formal,27938.35,18463.73,5,3342,24,22.82,Weekly,1,0,Agriculture,Electronics,True,18,43.93,1
L101150,C51150,Female,31,Married,Secondary,Nairobi,Unemployed,40554.64,18292.37,4,9985,6,5.15,Bi-weekly,2,0,Agriculture,Electronics,True,12,65.92,0
L101151,C51151,Female,30,Widowed,Tertiary,Mombasa,Formal,16322.7,16632.23,10,44912,24,10.05,Monthly,2,0,Agriculture,None,True,32,70.55,0
L101152,C51152,Male,19,Widowed,Tertiary,Meru,Formal,23809.81,2510.27,5,26527,24,14.35,Monthly,0,1,Emergency,Electronics,True,7,76.01,1
L101153,C51153,Other,21,Married,Secondary,Machakos,Formal,47922.74,465.9,7,42689,3,8.57,Weekly,3,1,Agriculture,Electronics,False,21,30.06,1
L101154,C51154,Other,29,Married,Primary,Nairobi,Formal,25527.17,1852.17,8,46110,24,15.99,Bi-weekly,1,0,Agriculture,Guarantor,False,51,79.87,0
L101155,C51155,Male,27,Widowed,None,Nakuru,Unemployed,17426.2,16879.75,13,9203,6,7.98,Bi-weekly,2,1,Emergency,Guarantor,False,43,8.04,1
L101156,C51156,Other,20,Married,Tertiary,Nakuru,Unemployed,32701.44,2748.21,6,14015,12,16.64,Monthly,1,1,Household,Guarantor,True,22,5.39,0
L101157,C51157,Male,21,Single,Primary,Meru,Formal,22566.27,18926.33,4,19367,24,5.35,Weekly,1,1,Household,Livestock,True,41,11.92,1
L101158,C51158,Male,23,Single,Tertiary,Meru,Unemployed,13896.16,19195.54,4,31743,12,5.99,Weekly,3,1,Education,None,True,31,75.12,1
L101159,C51159,Male,40,Divorced,Primary,Meru,Informal,43705.54,16569.13,5,49302,12,9.33,Monthly,1,0,Household,None,True,0,76.91,1
L101160,C51160,Other,22,Divorced,Secondary,Mombasa,Unemployed,22561.51,10412.74,15,42505,3,12.24,Weekly,3,0,Emergency,None,True,22,9.69,0
L101161,C51161,Male,20,Divorced,Tertiary,Machakos,Unemployed,32554.15,18921.3,6,40108,6,10.28,Monthly,3,2,Household,None,True,2,31.36,0
L101162,C51162,Female,27,Single,None,Machakos,Formal,28757.15,10745.65,5,5545,6,6.88,Weekly,2,0,Education,None,False,48,63.8,1
L101163,C51163,Other,60,Widowed,Secondary,Nakuru,Unemployed,23670.78,23027.58,9,16995,3,8.51,Weekly,5,1,Education,Title Deed,True,37,62.64,1
L101164,C51164,Other,36,Divorced,Tertiary,Machakos,Informal,24200.48,18595.48,6,24907,12,13.85,Monthly,2,0,Emergency,Electronics,True,27,85.57,0
L101165,C51165,Other,31,Single,Secondary,Kisumu,Unemployed,29812.57,4761.66,7,34660,3,7.56,Bi-weekly,4,1,Education,Title Deed,True,47,28.53,0
L101166,C51166,Other,38,Widowed,None,Eldoret,Informal,47663.15,5169.02,6,4778,3,16.88,Bi-weekly,1,0,Agriculture,Title Deed,True,58,91.81,1
L101167,C51167,Female,60,Married,Tertiary,Machakos,Unemployed,34772.84,7737.07,6,7115,3,8.44,Bi-weekly,1,1,Medical,Electronics,False,24,84.52,0
L101168,C51168,Other,45,Single,Tertiary,Eldoret,Self-employed,52624.51,9946.52,1,37106,24,14.66,Monthly,1,0,Agriculture,Title Deed,False,6,11.17,0
L101169,C51169,Other,38,Married,Tertiary,Meru,Unemployed,21804.66,4394.96,7,24745,12,18.47,Weekly,0,0,Medical,Electronics,False,24,96.03,0
L101170,C51170,Male,53,Divorced,Primary,Nairobi,Informal,31513.17,17987.69,6,5255,6,24.75,Weekly,1,0,Household,Guarantor,True,32,76.24,1
L101171,C51171,Other,41,Widowed,Primary,Nakuru,Informal,12156.51,16692.98,10,6566,24,8.12,Weekly,5,0,Household,Electronics,True,17,73.25,0
L101172,C51172,Female,55,Single,Tertiary,Eldoret,Informal,39861.98,9928.21,7,23578,24,13.46,Weekly,2,1,Business,Livestock,True,43,78.03,0
L101173,C51173,Female,34,Divorced,Secondary,Mombasa,Formal,45664.81,21629.32,7,13348,12,13.9,Weekly,3,1,Business,Guarantor,False,10,27.48,0
L101174,C51174,Female,39,Divorced,Secondary,Mombasa,Informal,40821.74,12140.24,5,21470,24,9.6,Monthly,1,0,Agriculture,None,False,53,84.43,0
L101175,C51175,Female,36,Widowed,Tertiary,Meru,Unemployed,43685.35,740.55,5,20344,6,5.94,Monthly,2,0,Household,None,False,41,24.44,0
L101176,C51176,Other,62,Married,None,Mombasa,Self-employed,29751.94,4456.09,6,35484,24,8.21,Bi-weekly,1,0,Household,Livestock,False,56,52.92,1
L101177,C51177,Other,27,Divorced,None,Nairobi,Informal,36667.2,14215.72,2,46794,24,13.38,Monthly,1,1,Medical,None,True,5,96.71,0
L101178,C51178,Female,28,Widowed,None,Eldoret,Formal,43419.26,23049.15,4,13802,6,6.13,Weekly,0,0,Medical,Electronics,True,59,98.07,0
L101179,C51179,Female,55,Widowed,Primary,Eldoret,Unemployed,47178.9,14875.16,7,16737,12,11.74,Monthly,0,0,Education,None,False,48,48.55,0
L101180,C51180,Other,19,Single,Primary,Eldoret,Informal,29932.78,4486.87,4,7952,3,24.49,Weekly,2,0,Business,Electronics,True,42,16.53,0
L101181,C51181,Female,50,Divorced,Primary,Mombasa,Formal,20864.6,7238.11,4,7340,6,14.58,Weekly,4,0,Household,Guarantor,True,30,66.03,0
L101182,C51182,Male,60,Married,Primary,Meru,Formal,50739.26,15179.32,10,24285,24,14.1,Monthly,1,0,Education,Livestock,False,36,85.44,0
L101183,C51183,Female,48,Married,Secondary,Mombasa,Formal,31436.33,4241.4,12,6245,12,23.32,Weekly,4,2,Business,None,True,23,25.89,0
L101184,C51184,Female,52,Divorced,Tertiary,Nairobi,Informal,29410.35,26299.29,5,47253,3,11.16,Bi-weekly,3,0,Agriculture,None,False,5,42.77,0
L101185,C51185,Male,54,Married,Tertiary,Meru,Informal,19466.91,21396.01,5,7116,12,23.29,Weekly,1,0,Business,Guarantor,True,50,31.75,0
L101186,C51186,Male,64,Widowed,Tertiary,Kisumu,Informal,28715.44,12618.06,5,47100,3,10.79,Weekly,1,2,Business,Livestock,True,24,30.22,0
L101187,C51187,Other,64,Widowed,Secondary,Eldoret,Self-employed,24729.15,19205.81,7,34928,24,19.97,Bi-weekly,2,1,Agriculture,Electronics,True,36,64.15,1
L101188,C51188,Other,53,Divorced,None,Nairobi,Self-employed,16175.14,13080.23,7,10908,3,21.43,Bi-weekly,1,0,Business,Livestock,True,31,11.06,0
L101189,C51189,Male,40,Married,None,Mombasa,Unemployed,17804.14,9359.93,5,21635,12,11.16,Bi-weekly,3,1,Education,Title Deed,True,38,57.18,0
L101190,C51190,Male,53,Widowed,Primary,Kisumu,Unemployed,39035.87,13110.52,7,8260,6,21.38,Monthly,2,2,Emergency,Livestock,True,11,83.06,0
L101191,C51191,Other,57,Divorced,Primary,Nakuru,Formal,26041.22,-5481.93,4,16104,24,5.11,Bi-weekly,3,0,Household,Livestock,False,50,5.2,0
L101192,C51192,Female,56,Widowed,Secondary,Kisumu,Self-employed,32232.81,16431.67,3,29954,3,21.03,Monthly,0,1,Agriculture,Guarantor,False,54,73.72,0
L101193,C51193,Male,43,Divorced,Secondary,Machakos,Informal,26556.64,8794.61,8,7197,12,5.08,Bi-weekly,1,0,Emergency,Electronics,True,42,25.38,0
L101194,C51194,Other,42,Single,None,Nairobi,Unemployed,16211.86,24156.95,7,44178,3,23.17,Weekly,4,1,Business,Title Deed,False,36,33.65,0
L101195,C51195,Female,34,Single,Tertiary,Kisumu,Informal,47844.42,16367.58,8,20114,12,16.17,Bi-weekly,2,0,Education,Title Deed,True,18,29.3,0
L101196,C51196,Male,32,Divorced,Tertiary,Mombasa,Informal,33971.37,13708.93,7,15602,6,19.41,Weekly,2,0,Business,Guarantor,False,52,67.99,0
L101197,C51197,Female,54,Single,Secondary,Kisumu,Self-employed,40406.75,2816.91,5,12610,3,5.72,Weekly,5,0,Business,Livestock,False,40,20.87,0
L101198,C51198,Other,62,Single,Secondary,Mombasa,Unemployed,36278.08,8774.64,9,14729,12,10.42,Monthly,3,0,Household,Livestock,True,42,19.33,0
L101199,C51199,Male,21,Married,Secondary,Kisumu,Formal,28671.72,13766.87,4,28687,24,6.07,Bi-weekly,3,0,Agriculture,None,True,57,15.08,0
L101200,C51200,Female,39,Single,Primary,Nairobi,Unemployed,22641.18,20760.9,4,10418,12,13.68,Bi-weekly,5,1,Household,Electronics,True,29,42.84,0
L101201,C51201,Male,34,Married,Tertiary,Nakuru,Unemployed,5850.51,15464.39,6,5319,24,6.92,Bi-weekly,4,1,Education,Electronics,False,7,1.76,0
L101202,C51202,Female,39,Single,Secondary,Eldoret,Unemployed,205.95,13062.15,3,30447,12,9.29,Bi-weekly,3,1,Emergency,Electronics,False,29,60.24,0
L101203,C51203,Other,34,Single,Secondary,Kisumu,Self-employed,42511.21,12272.38,8,5521,24,5.3,Monthly,4,0,Household,Title Deed,False,16,64.56,0
L101204,C51204,Other,31,Widowed,Primary,Nakuru,Unemployed,45275.54,23699.21,5,19769,6,14.23,Bi-weekly,1,0,Emergency,Livestock,False,56,28.66,0
L101205,C51205,Male,31,Divorced,Secondary,Kisumu,Formal,49081.07,21026.88,10,5906,3,10.81,Monthly,5,1,Household,None,True,3,27.3,0
L101206,C51206,Female,34,Single,Tertiary,Meru,Unemployed,28366.67,17758.7,5,20683,24,22.53,Weekly,1,1,Household,None,True,43,97.65,0
L101207,C51207,Male,25,Divorced,Primary,Nakuru,Informal,19923.08,16920.36,8,45907,24,15.66,Monthly,2,0,Agriculture,Title Deed,True,49,65.26,0
L101208,C51208,Male,51,Divorced,Secondary,Mombasa,Formal,39118.71,14734.14,5,48403,3,23.95,Monthly,3,0,Medical,Title Deed,True,35,6.27,0
L101209,C51209,Female,43,Widowed,Tertiary,Nakuru,Unemployed,48319.49,16104.37,3,40780,12,20.8,Monthly,1,1,Education,None,False,8,13.32,0
L101210,C51210,Female,62,Divorced,Tertiary,Eldoret,Self-employed,55809.02,-1164.09,10,28163,24,16.79,Weekly,3,1,Emergency,Guarantor,True,37,13.68,0
L101211,C51211,Female,47,Divorced,Primary,Nakuru,Self-employed,25529.84,9831.28,5,22900,24,8.76,Weekly,1,1,Education,None,False,37,29.71,0
L101212,C51212,Other,39,Single,Tertiary,Machakos,Self-employed,44148.57,17928.49,5,41500,6,10.58,Bi-weekly,4,0,Medical,Title Deed,False,10,69.37,0
L101213,C51213,Male,33,Widowed,Primary,Eldoret,Informal,37144.82,10547.57,4,26717,6,22.45,Monthly,2,0,Business,Livestock,False,54,13.59,1
L101214,C51214,Male,47,Divorced,Tertiary,Eldoret,Informal,30759.65,9146.99,4,2571,3,8.31,Weekly,3,1,Emergency,Title Deed,True,56,46.98,1
L101215,C51215,Other,33,Single,Secondary,Nakuru,Self-employed,20331.89,19522.55,6,33382,3,15.83,Monthly,1,0,Education,Title Deed,False,49,31.23,0
L101216,C51216,Female,55,Widowed,Primary,Machakos,Informal,49099.09,-1598.33,10,39119,3,24.4,Weekly,1,1,Household,None,False,28,63.75,0
L101217,C51217,Other,41,Single,Tertiary,Eldoret,Unemployed,47453.19,6928.41,8,5156,6,18.06,Bi-weekly,0,1,Household,Electronics,False,9,12.2,0
L101218,C51218,Other,53,Widowed,Primary,Eldoret,Unemployed,27643.34,-2.14,7,47663,3,22.27,Weekly,0,0,Household,Livestock,True,49,4.99,1
L101219,C51219,Other,52,Widowed,Tertiary,Meru,Self-employed,41263.89,22465.24,4,5278,12,5.86,Monthly,0,1,Agriculture,Livestock,False,7,69.77,0
L101220,C51220,Male,23,Married,Primary,Mombasa,Formal,39244.83,11113.09,4,42602,24,17.56,Monthly,3,1,Business,Livestock,False,14,17.6,1
L101221,C51221,Other,21,Married,Secondary,Machakos,Unemployed,39538.33,23235.73,6,6181,24,18.17,Bi-weekly,1,0,Education,Guarantor,True,51,88.76,1
L101222,C51222,Male,35,Married,Primary,Nairobi,Formal,16173.36,9718.22,4,1166,3,10.54,Bi-weekly,1,0,Business,Electronics,False,14,19.82,1
L101223,C51223,Male,23,Divorced,Primary,Mombasa,Informal,16207.15,226.32,5,11347,12,20.82,Bi-weekly,4,0,Business,Livestock,False,3,93.42,1
L101224,C51224,Male,43,Single,Secondary,Nairobi,Informal,27567.9,9352.59,3,22608,12,14.59,Monthly,0,1,Business,None,True,32,9.39,0
L101225,C51225,Female,54,Widowed,Tertiary,Nairobi,Unemployed,36133.61,25461.2,5,12118,3,12.35,Weekly,2,0,Household,None,True,57,99.56,0
L101226,C51226,Male,44,Single,None,Mombasa,Unemployed,56525.47,18568.93,4,5744,6,19.24,Monthly,4,0,Education,Title Deed,True,26,56.51,0
L101227,C51227,Male,58,Divorced,Secondary,Eldoret,Informal,8157.89,13143.41,9,44488,6,6.32,Weekly,1,1,Medical,Title Deed,False,40,29.87,1
L101228,C51228,Female,28,Married,Primary,Meru,Informal,46780.81,13039.32,12,42833,3,7.73,Bi-weekly,2,0,Medical,Electronics,False,25,14.32,0
L101229,C51229,Male,55,Married,Secondary,Machakos,Formal,10975.97,10242.41,8,34147,6,13.96,Weekly,0,1,Business,Title Deed,True,28,42.17,0
L101230,C51230,Other,33,Single,Secondary,Mombasa,Unemployed,33573.72,7782.9,8,7869,24,24.1,Monthly,5,2,Business,Electronics,False,9,78.61,0
L101231,C51231,Other,36,Single,Primary,Eldoret,Self-employed,2466.92,14508.88,3,3268,24,23.45,Monthly,1,0,Household,Electronics,True,34,33.2,0
L101232,C51232,Male,60,Widowed,Primary,Mombasa,Self-employed,50592.16,-180.27,5,3987,12,12.29,Monthly,3,0,Agriculture,Livestock,True,57,1.54,1
L101233,C51233,Female,32,Single,None,Mombasa,Informal,34082.42,12508.45,4,40699,3,8.66,Monthly,1,1,Agriculture,Livestock,True,23,69.24,0
L101234,C51234,Other,43,Widowed,Secondary,Meru,Self-employed,36263.9,9998.56,7,2090,12,11.95,Monthly,3,0,Emergency,Electronics,True,46,67.2,1
L101235,C51235,Female,58,Widowed,Primary,Kisumu,Informal,42420.23,10314.52,6,37407,24,24.99,Weekly,5,0,Education,Electronics,False,37,0.41,0
L101236,C51236,Female,48,Married,Tertiary,Nakuru,Self-employed,25928.24,4840.58,3,13315,3,6.01,Bi-weekly,0,0,Education,Livestock,True,52,67.37,0
L101237,C51237,Other,36,Single,Tertiary,Mombasa,Informal,4089.32,14573.37,9,5791,24,10.29,Monthly,3,0,Education,None,False,15,6.3,0
L101238,C51238,Female,41,Married,Tertiary,Nakuru,Informal,3443.11,24147.9,9,5325,12,20.71,Weekly,1,1,Business,Electronics,True,6,92.56,0
L101239,C51239,Other,26,Widowed,Tertiary,Eldoret,Self-employed,38255.57,7447.99,9,29000,24,20.42,Monthly,1,0,Medical,Guarantor,False,15,28.03,0
L101240,C51240,Female,40,Married,Secondary,Kisumu,Unemployed,26008.0,14875.88,5,12550,24,12.41,Weekly,1,1,Business,Guarantor,True,36,10.85,0
L101241,C51241,Other,21,Married,Secondary,Meru,Informal,48090.32,14698.89,6,27446,24,16.6,Monthly,2,0,Agriculture,Title Deed,False,39,87.53,0
L101242,C51242,Male,27,Widowed,None,Kisumu,Self-employed,30733.79,24216.21,4,9464,12,6.52,Monthly,4,1,Medical,Livestock,False,5,55.85,0
L101243,C51243,Other,26,Divorced,Secondary,Nairobi,Unemployed,40045.76,1279.37,4,8313,6,22.93,Bi-weekly,2,1,Household,None,False,2,30.9,0
L101244,C51244,Other,36,Divorced,Primary,Machakos,Formal,43902.13,14066.05,8,15204,3,17.4,Monthly,1,1,Agriculture,None,True,13,79.08,0
L101245,C51245,Other,32,Single,None,Machakos,Informal,43619.17,19706.62,6,15071,12,10.01,Monthly,4,0,Agriculture,Electronics,True,17,93.26,0
L101246,C51246,Other,51,Married,Secondary,Meru,Informal,26557.25,18742.97,6,24549,24,13.13,Bi-weekly,0,1,Household,Electronics,False,10,99.93,0
L101247,C51247,Female,59,Single,Secondary,Machakos,Formal,31512.74,6911.53,7,16705,24,9.36,Monthly,5,0,Business,Title Deed,False,51,89.82,0
L101248,C51248,Male,36,Married,Primary,Meru,Informal,42508.09,5183.47,9,21503,6,11.86,Monthly,2,0,Medical,Electronics,False,54,17.56,1
L101249,C51249,Other,38,Single,Primary,Nakuru,Formal,33870.59,12935.47,4,33572,12,10.28,Weekly,1,1,Household,Livestock,True,22,38.53,1
L101250,C51250,Female,51,Single,Primary,Kisumu,Self-employed,3569.31,19275.97,5,12807,12,15.29,Bi-weekly,2,0,Agriculture,Electronics,False,8,55.17,0
L101251,C51251,Male,34,Widowed,Tertiary,Eldoret,Formal,-2375.69,-3528.19,8,12346,12,6.66,Weekly,3,0,Business,Guarantor,True,44,72.11,0
L101252,C51252,Male,35,Divorced,Secondary,Nairobi,Unemployed,20971.49,3381.06,4,24971,12,9.23,Monthly,2,1,Emergency,Electronics,False,38,45.62,0
L101253,C51253,Male,34,Divorced,Secondary,Kisumu,Self-employed,44157.99,15204.25,4,21782,24,5.9,Weekly,0,0,Education,Title Deed,True,53,14.76,0
L101254,C51254,Male,19,Divorced,Secondary,Eldoret,Formal,30396.69,13285.74,4,2257,24,11.44,Weekly,3,1,Emergency,Guarantor,False,10,69.86,0
L101255,C51255,Other,18,Widowed,None,Nakuru,Unemployed,53892.63,21737.86,4,8794,3,12.57,Weekly,3,1,Household,Guarantor,False,36,82.14,0
L101256,C51256,Other,60,Divorced,None,Eldoret,Formal,42037.46,32853.15,5,27383,6,20.94,Monthly,1,0,Business,Electronics,False,49,66.62,1
L101257,C51257,Female,27,Widowed,None,Eldoret,Unemployed,10255.79,24839.01,5,35938,12,21.6,Weekly,2,1,Household,Livestock,True,19,15.15,1
L101258,C51258,Female,54,Married,None,Machakos,Formal,45303.18,11421.05,7,22726,12,21.44,Monthly,0,1,Agriculture,Electronics,True,1,92.83,0
L101259,C51259,Female,22,Widowed,None,Machakos,Informal,11807.98,5392.21,6,20181,3,19.54,Bi-weekly,2,0,Agriculture,Title Deed,False,11,38.15,0
L101260,C51260,Male,29,Single,Primary,Eldoret,Unemployed,55042.96,1142.9,5,39323,24,6.98,Monthly,5,0,Household,Guarantor,False,20,18.41,0
L101261,C51261,Male,53,Single,None,Mombasa,Informal,37811.45,15351.5,3,9720,6,19.01,Monthly,3,0,Business,Electronics,True,54,52.57,0
L101262,C51262,Other,48,Married,Secondary,Meru,Informal,51550.4,-2676.07,8,41048,6,17.1,Monthly,1,0,Business,Livestock,True,33,51.36,1
L101263,C51263,Male,55,Married,Tertiary,Kisumu,Unemployed,38265.26,10773.86,5,44953,3,22.17,Monthly,2,1,Business,Guarantor,False,1,9.97,0
L101264,C51264,Male,26,Single,Secondary,Eldoret,Informal,29855.74,14346.1,1,40503,24,16.13,Bi-weekly,4,0,Emergency,Electronics,False,8,71.52,0
L101265,C51265,Male,61,Divorced,Secondary,Nairobi,Self-employed,32220.85,26621.53,7,42745,3,7.45,Weekly,2,1,Medical,Title Deed,True,38,57.05,0
L101266,C51266,Female,43,Divorced,Primary,Mombasa,Formal,17029.24,13596.82,7,21692,6,21.22,Weekly,3,0,Agriculture,Livestock,False,24,48.02,0
L101267,C51267,Female,32,Divorced,Tertiary,Eldoret,Unemployed,33201.1,5486.62,4,12605,24,8.51,Weekly,4,1,Emergency,Guarantor,True,25,63.06,0
L101268,C51268,Other,33,Married,Secondary,Eldoret,Self-employed,31797.72,16933.52,4,20581,6,19.12,Monthly,2,0,Household,Livestock,True,43,59.34,0
L101269,C51269,Male,30,Single,Primary,Meru,Unemployed,38404.99,13429.34,4,44353,12,21.0,Bi-weekly,3,0,Household,Guarantor,False,59,43.58,1
